scientific.name,Temp,W,Pcrit,AphiaID,lowest.taxon,Source,Method,RespSetup,O2Control,EstMethod_Metric,Notes,SharedAuthor,Location
leiostomus xanthurus,25,209,5.6,159322,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
leiostomus xanthurus,30,206,6.13,159322,species,Marcek et al. (2019),OxygenConsumption,intermittent,drawdown,oxyconform,captured and held for two weeks,Brill,Lab
tigriopus brevicornis,20,2.00E-04,1.2,116183,species,McAllen et al. (1999),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimated 2 days,Davenport,Lab
tigriopus brevicornis,30,2.00E-04,2.133333333,116183,species,McAllen et al. (1999),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimated 2 days,Davenport,Lab
bythograea thermydron,2,65,1.2,440289,species,Mickel and Childress (1982),OxygenConsumption,closed,drawdown,oxyconform,captured and held for 1 - 7 days,Childress,Shipboard
bythograea thermydron,12,65,1.866666667,440289,species,Mickel and Childress (1982),OxygenConsumption,closed,drawdown,oxyconform,captured and held for 1 - 7 days,Childress,Shipboard
bythograea thermydron,25,65,2.533333333,440289,species,Mickel and Childress (1982),OxygenConsumption,closed,drawdown,oxyconform,captured and held for 1 - 7 days,Childress,Shipboard
palaemon vulgaris,18,NA,2.45,932406,species,Miller et al. (2002),Lethal,4days,,Death,,Miller,
palaemon vulgaris,24,NA,2.67,932406,species,Miller et al. (2002),Lethal,4days,,Death,,Miller,
palaemon vulgaris,25,NA,5.69,932406,species,Miller et al. (2002),Lethal,4days,,Death,,Miller,
morone saxatilis,28,1300,7.410095,151179,species,LaPointe et al. (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimated for 3 weeks,Brill,Lab
morone saxatilis,20,1300,5.292925,151179,species,LaPointe et al. (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimated for 3 weeks,Brill,Lab
chromis atripectoralis,30,0.0234,6.94507399,212812,species,Nilsson et al. (2007),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Nilsson,Lab
chromis atripectoralis,30,0.0715,5.113184909,212812,species,Nilsson et al. (2007),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Nilsson,Lab
pomacentrus amboinensis,30,0.059,6.461938408,277132,species,Nilsson et al. (2007),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Nilsson,Lab
pomacentrus amboinensis,30,0.1023,6.321023863,277132,species,Nilsson et al. (2007),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Nilsson,Lab
acanthochromis polyacanthus,30,0.0448,6.280762565,279469,species,Nilsson et al. (2007),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Nilsson,Lab
acanthochromis polyacanthus,30,0.134,5.777496334,279469,species,Nilsson et al. (2007),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Nilsson,Lab
panulirus interruptus,20,908,5.189740546,382898,species,Ocampo et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,caputred and acclimated for 2 week,Ocampo,Lab
panulirus interruptus,27,908,8.809000024,382898,species,Ocampo et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,caputred and acclimated for 2 week,Ocampo,Lab
oncorhynchus mykiss,10,601,2.773056,127185,species,Ott et al. (1980),OxygenConsumption,closed,drawdown,SMR,Reared fish,Ott,Lab
oncorhynchus mykiss,15,561,2.933084,127185,species,Ott et al. (1980),OxygenConsumption,closed,drawdown,SMR,Reared fish,Ott,Lab
oncorhynchus mykiss,20,542,3.6530228,127185,species,Ott et al. (1980),OxygenConsumption,closed,drawdown,SMR,Reared fish,Ott,Lab
octopus vulgaris,15.5,2050,0.9975062,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,15.7,2000,1.3816522,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,17.1,510,0.8468191,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,17.1,380,1.1566827,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,17.3,500,0.275906,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,17.6,490,0.9699156,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,18.9,1030,1.4071205,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,19,1200,0.9253462,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,19.1,1100,1.5853982,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,20,1100,1.1927628,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,20,790,1.1906404,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,20.4,320,1.1609275,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,20.5,520,1.1970075,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,20.7,220,1.3094922,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,20.8,180,0.5794025,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,23.4,530,1.4538123,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,23.7,1100,2.3324667,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,23.7,780,1.7870218,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,27,2200,1.6236005,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,27.3,1020,1.5068711,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,27.4,1010,1.2394545,140605,species,Cerezo Valverde and Garcia (2005),Lethal,unknown,,Death,,Garcia,
octopus vulgaris,12.25,47.43,6.229108,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,13.05,47.43,3.939088,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,14.55,47.43,7.266939,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,15.45,47.43,5.029978,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,16.95,47.43,3.457314,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,18.35,47.43,7.067438,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,18.9,1030,9.996286,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,19,1200,6.273677,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,19.1,1100,8.877805,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,19.2,690,3.323606,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,20,1100,4.925983,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,20,790,7.192657,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,20.4,320,7.086539,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,20.5,520,6.755452,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,20.7,220,5.216745,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,20.8,180,8.179551,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,23.4,530,7.489786,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,23.7,1100,7.86332,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,23.7,780,7.460073,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,27,2200,6.783042,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,27.3,1020,8.926619,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
octopus vulgaris,27.4,1010,8.16045,140605,species,Cerezo Valverde and Garcia (2005),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
zoarces viviparus,12.25,47.43,4.4684722,127123,species,Zakhartsev et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
zoarces viviparus,13.05,47.43,4.214983649,127123,species,Zakhartsev et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
zoarces viviparus,14.55,47.43,5.139735018,127123,species,Zakhartsev et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
zoarces viviparus,15.45,47.43,5.697143091,127123,species,Zakhartsev et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
zoarces viviparus,16.95,47.43,7.186198053,127123,species,Zakhartsev et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
zoarces viviparus,18.35,47.43,8.735834983,127123,species,Zakhartsev et al. (2003),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
pleuroncodes planipes,10,5,0.28,392683,species,Quetin and Childress (1976),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Lab
pleuroncodes planipes,15,5,0.3,392683,species,Quetin and Childress (1976),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Lab
pleuroncodes planipes,20,5,0.42,392683,species,Quetin and Childress (1976),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Lab
pleuroncodes planipes,25,5,0.63,392683,species,Quetin and Childress (1976),OxygenConsumption,closed,drawdown,oxyconform,,Childress,Lab
penaeus aztecus,20,NA,12.26565786,395176,species,Sanchez et al. (1991),unknown,,,,,Sanchez,
penaeus aztecus,30,NA,16.2653289,395176,species,Sanchez et al. (1991),unknown,,,,,Sanchez,
gadus morhua,5,140,1.11561737,126436,species,Schurmann and Stefenson (1992),Lethal,unknown,,LOE,,Schurmann,
gadus morhua,9,140,2.421532991,126436,species,Schurmann and Stefenson (1992),Lethal,unknown,,LOE,,Schurmann,
gadus morhua,10,140,3.099817928,126436,species,Schurmann and Stefenson (1992),Lethal,unknown,,LOE,,Schurmann,
gadus morhua,11,140,3.412610307,126436,species,Schurmann and Stefenson (1992),Lethal,unknown,,LOE,,Schurmann,
gadus morhua,15,140,3.625115473,126436,species,Schurmann and Stefenson (1992),Lethal,unknown,,LOE,,Schurmann,
gadus morhua,17,140,6.374900666,126436,species,Schurmann and Stefenson (1992),Lethal,unknown,,LOE,,Schurmann,
centropristis striata,12,362.025,4.1265,159348,species,Slesinger et al. (2019),OxygenConsumption,intermittent,drawdown,SMR,captured and acclimated for  at least 2 week,Slesinger,Lab
centropristis striata,17,396.625,4.47825,159348,species,Slesinger et al. (2019),OxygenConsumption,intermittent,drawdown,SMR,captured and acclimated for  at least 2 week,Slesinger,Lab
centropristis striata,22,516.475,4.578,159348,species,Slesinger et al. (2019),OxygenConsumption,intermittent,drawdown,SMR,captured and acclimated for  at least 2 week,Slesinger,Lab
centropristis striata,27,431.175,6.636,159348,species,Slesinger et al. (2019),OxygenConsumption,intermittent,drawdown,SMR,captured and acclimated for  at least 2 week,Slesinger,Lab
centropristis striata,30,434.4,7.95375,159348,species,Slesinger et al. (2019),OxygenConsumption,intermittent,drawdown,SMR,captured and acclimated for  at least 2 week,Slesinger,Lab
gadus morhua,15,166.7,6.4150251,126436,species,Soofiani and Priede (1985),unknown,,,unknown,,Soofiani,
gadus morhua,10,157.7,4.9118344,126436,species,Soofiani and Priede (1985),unknown,,,unknown,,Soofiani,
gadus morhua,5,124.1,3.4933305,126436,species,Soofiani and Priede (1985),unknown,,,unknown,,Soofiani,
gadus morhua,15,166.7,6.4150251,126436,species,Soofiani and Priede (1985),unknown,,,unknown,,Soofiani,
gadus morhua,10,157.7,4.9118344,126436,species,Soofiani and Priede (1985),unknown,,,unknown,,Soofiani,
gadus morhua,5,124.1,3.4933305,126436,species,Soofiani and Priede (1985),unknown,,,unknown,,Soofiani,
gobiodon erythrospilus,33,1.32,7.988738733,309999,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon erythrospilus,32,1.32,6.450191294,309999,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon erythrospilus,31,1.32,6.20754244,309999,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon erythrospilus,29,1.32,5.514253952,309999,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon histrio,33,1.43,8.084731221,276928,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon histrio,32,1.43,5.95422305,276928,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon histrio,31,1.43,5.695610734,276928,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
gobiodon histrio,29,1.43,4.826300732,276928,species,Sorensen et al (2014),OxygenConsumption,closed,drawdown,oxyconform,captured and acclimted for 3-6 days,Nilsson,Lab
alitta succinea,25,0.215,1.68,234850,species,Sturdivant et al. (2015),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Brill,Lab
alitta succinea,30,0.215,2.52,234850,species,Sturdivant et al. (2015),OxygenConsumption,closed,drawdown,oxyconform,captured acclimation duration not noted,Brill,Lab
stenobrachius leucopsarus,5,4.3,1.58490566,254363,species,Torres et al (1979),OxygenConsumption,closed,drawdown,oxyconform,Noted that not in good condition,Childress,Lab
stenobrachius leucopsarus,10,4.4,2.641509434,254363,species,Torres et al (1979),OxygenConsumption,closed,drawdown,oxyconform,Noted that not in good condition,Childress,Lab
tarletonbeania crenularis,8,3.29,3.962264151,282927,species,Torres et al (1979),OxygenConsumption,closed,drawdown,oxyconform,Time since field capture not noted,Childress,Lab
tarletonbeania crenularis,13,3.29,4.622641509,282927,species,Torres et al (1979),OxygenConsumption,closed,drawdown,oxyconform,Time since field capture not noted,Childress,Lab
dosidicus gigas,10,4500,1.6,342291,species,Trueblood & Seibel 2013,OxygenConsumption,flowthrough,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
dosidicus gigas,20,4500,3.8,342291,species,Trueblood & Seibel 2013,OxygenConsumption,flowthrough,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
dentex dentex,15.55,745.1,7.9605592,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,19.65,601.7,7.7488422,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,17.05,117.4,6.2244798,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,13.75,117.1,5.6105005,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,23.95,255.1,8.5957102,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,27.95,251.2,8.5110234,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,26.65,656.4,8.1934479,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
dentex dentex,20.75,350.8,6.4785402,273962,species,Cerezo Valverde et al. (2006),OxygenConsumption,closed,drawdown,oxyconform,captured organisms acclimated based on feeding activity,Garcia,Lab
cancer irroratus,10,0.000246,4.469504919,158057,species,Vargo and Sastry (1977),Lethal,240minute,,Death,megalop; 240 minute.  Reared animals,Vargo,Lab
cancer irroratus,15,0.000246,2.5855603,158057,species,Vargo and Sastry (1977),Lethal,240minute,,Death,megalop; 240 minute.  Reared animals,Vargo,Lab
cancer irroratus,20,0.000246,9.587825754,158057,species,Vargo and Sastry (1977),Lethal,240minute,,Death,megalop; 240 minute.  Reared animals,Vargo,Lab
cancer irroratus,25,0.000246,17.3887004,158057,species,Vargo and Sastry (1977),Lethal,240minute,,Death,megalop; 240 minute.  Reared animals,Vargo,Lab
cancer irroratus,30,0.000246,22.01091931,158057,species,Vargo and Sastry (1977),Lethal,240minute,,Death,megalop; 240 minute.  Reared animals,Vargo,Lab
panulirus interruptus,10,6.14,3.48370386,382898,species,Winget (1969),unknown,,,unknown,cannot find these data,Winget,
panulirus interruptus,20,5.84,3.19439512,382898,species,Winget (1969),unknown,,,unknown,cannot find these data,Winget,
panulirus interruptus,30,5.79,2.73576744,382898,species,Winget (1969),unknown,,,unknown,cannot find these data,Winget,
gennadas sp.,5,0.29,0.61,106813,genera,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
gennadas sp.,10,0.37,0.29,106813,genera,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
lucicutia hulsemannae,5,0.0067,0.67,346631,species,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
lucicutia hulsemannae,8,0.0067,0.38,346631,species,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
megacalanus sp.,5,0.04,1.01,104187,genera,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
megacalanus sp.,10,0.031,0.91,104187,genera,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
nematobrachion flexipes,10,0.089,0.68,110692,species,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
nematobrachion flexipes,20,0.045,1.58,110692,species,Wishner et al. (2018),OxygenConsumption,closed,drawdown,oxyconform,captured acclimated 6 - 12 hours,Seibel,Shipboard
haliotis discus hannai,20,14.1,4.48,397083,species,Shen et al. (2020),Lethal,96hour,,Death,96 hour exposure,Shen,
haliotis discus hannai,28,14.2,13.06,397083,species,Shen et al. (2020),Lethal,96hour,,Death,96 hour exposure,Shen,
Goniotropsis cruentata,24,58,4.132782296,422187,species,Young (1973),OxygenConsumption,closed,drawdown,oxyconform,"Weights from Reis et al (2015) Growth and reproduction of the mangrove crab <i>Goniopsis cruentata</i> (Latreille, 1803) (Crustacea: Decapoda: Grapsidae) in southeastern Brazil",Young,Lab
Goniotropsis cruentata,29,58,8.265564591,422187,species,Young (1973),OxygenConsumption,closed,drawdown,oxyconform,"Weights from Reis et al (2015) Growth and reproduction of the mangrove crab <i>Goniopsis cruentata</i> (Latreille, 1803) (Crustacea: Decapoda: Grapsidae) in southeastern Brazil",Young,Lab
Goniotropsis cruentata,32,58,13.33155579,422187,species,Young (1973),OxygenConsumption,closed,drawdown,oxyconform,"Weights from Reis et al (2015) Growth and reproduction of the mangrove crab <i>Goniopsis cruentata</i> (Latreille, 1803) (Crustacea: Decapoda: Grapsidae) in southeastern Brazil",Young,Lab
Goniotropsis cruentata,35,58,21.33048927,422187,species,Young (1973),OxygenConsumption,closed,drawdown,oxyconform,"Weights from Reis et al (2015) Growth and reproduction of the mangrove crab <i>Goniopsis cruentata</i> (Latreille, 1803) (Crustacea: Decapoda: Grapsidae) in southeastern Brazil",Young,Lab
Artedius fenestralis,12,45.9,3.914058182,268390,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius fenestralis,16,47,5.701604745,268390,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius fenestralis,20,47,7.8033931,268390,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius harringtoni,12,12,3.665432878,279701,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius harringtoni,16,12,3.849168336,279701,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius harringtoni,20,13,5.560015417,279701,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius lateralis,12,33,6.299951771,279702,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius lateralis,16,36,7.300749681,279702,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Artedius lateralis,20,34,9.743705225,279702,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Blepsias cirrhosus,12,7,4.126832173,279417,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Blepsias cirrhosus,16,6.6,5.021214047,279417,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Blepsias cirrhosus,20,6.5,6.452359921,279417,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Clinocottus globiceps,12,29,3.838524986,280221,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Clinocottus globiceps,16,31,3.890918539,280221,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Clinocottus globiceps,20,36,5.147256434,280221,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Enophrys bison,12,290,4.607756682,275355,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Enophrys bison,16,250,4.847962798,275355,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Enophrys bison,20,270,10.3168808,275355,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Hemilepidotus hemilepidotus,12,540,5.798478454,254521,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Hemilepidotus hemilepidotus,16,570,7.570544264,254521,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Hemilepidotus hemilepidotus,20,560,8.066624766,254521,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Oligocottus maculosus,12,7,2.904544112,281872,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Oligocottus maculosus,16,4.8,4.518124636,281872,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Oligocottus maculosus,20,4.1,5.50054086,281872,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Scorpaenichthys marmoratusÊ,12,270,3.023689375,282726,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Scorpaenichthys marmoratusÊ,16,300,5.401115531,282726,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Scorpaenichthys marmoratusÊ,20,290,8.284457207,282726,species,Somo (2022),OxygenConsumption,intermittent,drawdown,SMR,captured acclimated at least 2 months,Richards,Lab
Fundulis grandis,27,10.8,5.65,276030,species,Reemeyer and Rees (2019),OxygenConsumption,closed,drawdown,oxyconform,reared animals,Reemeyer,Lab
Fundulis grandis,27,10.8,3.3,276030,species,Reemeyer and Rees (2019),OxygenConsumption,closed,drawdown,SMR,reared animals,Reemeyer,Lab
Tubifex tubifex,12,0.01464,3.867648284,137569,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,animal sources and acclimation unknown,Endress,Lab
Tubifex tubifex,15,0.015582353,4.150909849,137569,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,animal sources and acclimation unknown,Endress,Lab
Tubifex tubifex,18,0.012445,2.245867482,137569,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,animal sources and acclimation unknown,Endress,Lab
Tubifex tubifex,21,0.0150375,2.870343103,137569,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,animal sources and acclimation unknown,Endress,Lab
Tubifex tubifex,24,0.013825,4.621364078,137569,species,Endress et al (2024),OxygenConsumption,closed,drawdown,oxyconform,animal sources and acclimation unknown,Endress,Lab
