,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
31,Rhinopristiformes,1.003320201,0.51561895,0.194336631,1.873884327,-0.075528606,0.066372794,-0.179816005,0.028243569,0.212671016,0.199807959,-0.122937643,0.523145321,1,Order
32,Trygonorrhinidae,1.006195672,0.513010395,0.182336866,1.849272968,-0.065880571,0.063976327,-0.170802658,0.042824652,0.194485929,0.213852482,-0.175235161,0.526473578,1,Family
33,Gastropoda,0.949289871,0.516985013,0.085299566,1.824764354,-0.070755108,0.069891643,-0.192462164,0.037887744,0.251930829,0.210914607,-0.093395874,0.596970703,1,Class
34,Littorinimorpha,0.975013304,0.471402754,0.230224545,1.742078407,-0.072181975,0.06903437,-0.183539517,0.040672136,0.236736915,0.203926013,-0.088361348,0.583786553,1,Order
35,Strombidae,1.036403524,0.460152069,0.292052539,1.740085876,-0.071569812,0.079274045,-0.190838828,0.057305059,0.221695476,0.205610003,-0.119608633,0.542985677,1,Family
36,Hexacorallia,0.942850807,0.488368387,0.129990859,1.753720671,-0.064374627,0.066214539,-0.167823188,0.050407302,0.265145139,0.199642733,-0.068405481,0.582586651,1,Class
37,Actiniaria,0.940765633,0.489254745,0.083278364,1.713312405,-0.063016721,0.068792535,-0.169632919,0.053811841,0.273561983,0.202154832,-0.058003444,0.603158545,1,Order
38,Edwardsiidae,0.962484596,0.426241881,0.27207067,1.676226788,-0.046989392,0.065043412,-0.148562508,0.066929426,0.283819808,0.158488286,0.012416939,0.532089025,1,Family
39,Malacostraca,0.924905151,0.440663794,0.210379169,1.638221424,-0.075026387,0.058526938,-0.166808138,0.019916305,0.327445508,0.179780882,0.055301184,0.62656854,26,Class
40,Decapoda,0.941537021,0.417824103,0.24939705,1.645100701,-0.068004542,0.05650139,-0.161186037,0.017069322,0.334276364,0.172838187,0.05100876,0.619231636,24,Order
41,Acanthephyridae,1.029572461,0.305039907,0.54215392,1.541596423,-0.048701536,0.065940318,-0.154081828,0.065360263,0.252473531,0.133638423,0.032369871,0.48247178,5,Family
42,Benthesicymidae,0.681141244,0.355569896,0.0621891,1.242011115,-0.095846368,0.064025316,-0.203755581,0.006865617,0.434360922,0.149731665,0.181548832,0.658064121,2,Family
43,Bythograeidae,0.670925851,0.369574259,0.064142521,1.296765853,-0.030646435,0.0675235,-0.130564763,0.086289534,0.317209115,0.146062244,0.085843797,0.56381659,1,Family
44,Cancridae,1.10236294,0.36543749,0.484007668,1.659684269,-0.058361424,0.072529315,-0.169263145,0.076916651,0.288855542,0.166201663,0.031144552,0.568921861,1,Family
45,Grapsidae,0.60198114,0.40908229,-0.07345016,1.286446553,-0.089877446,0.064656236,-0.197342259,0.012372566,0.518564304,0.171818372,0.256100301,0.823501169,1,Family
46,Majidae,1.026403098,0.382738643,0.426770969,1.659514644,-0.075264002,0.058490969,-0.167703775,0.023039343,0.327691324,0.152910161,0.084290168,0.586768563,1,Family
47,Munididae,0.707861761,0.361759448,0.099979435,1.292792747,-0.068284089,0.067219492,-0.185428237,0.032103385,0.422546997,0.163657556,0.144167427,0.685641207,1,Family
48,Oplophoridae,1.249509625,0.312786392,0.718124943,1.760611651,-0.046338386,0.065343491,-0.150175109,0.068301558,0.244095596,0.128689909,0.040819209,0.45403696,3,Family
49,Palinuridae,0.895481109,0.398862964,0.184727042,1.504651261,-0.065541568,0.056732441,-0.155244639,0.026263634,0.367519111,0.152418728,0.118784903,0.618458501,2,Family
50,Pandalidae,1.140602906,0.330135108,0.595051092,1.65949619,-0.09395565,0.068682678,-0.224763436,0.005783815,0.304811005,0.153439527,0.05052234,0.55124839,2,Family
51,Penaeidae,1.021744361,0.336465277,0.466784471,1.575795753,-0.064662131,0.067131699,-0.168578748,0.048862161,0.29509455,0.150102837,0.037401702,0.529646699,1,Family
52,Sergestidae,1.353590247,0.306486951,0.875443988,1.875094259,-0.042597759,0.067826749,-0.151838973,0.072229908,0.350356605,0.139945205,0.112525219,0.5739962,4,Family
53,Euphausiacea,0.880065244,0.44854105,0.138302465,1.609453729,-0.072774853,0.060622557,-0.17755853,0.017700212,0.344097187,0.182292045,0.05247768,0.63248982,2,Order
54,Euphausiidae,0.66342719,0.363172607,0.103856348,1.296301927,-0.089304507,0.059796533,-0.189730457,0.008055323,0.403402637,0.14992511,0.149864544,0.644800182,2,Family
55,Ophiuroidea,0.987508402,0.502215211,0.189379258,1.827856103,-0.073133673,0.067661135,-0.181853535,0.030969724,0.242966009,0.207380704,-0.109761829,0.57608848,2,Class
56,Ophiacanthida,0.983156385,0.493971286,0.170763576,1.767991939,-0.072399697,0.072314142,-0.197259767,0.036277866,0.250271745,0.205252789,-0.068865407,0.572740275,2,Order
57,Ophiocomidae,0.995756836,0.464698686,0.257598033,1.782278133,-0.066927159,0.080537644,-0.20113613,0.064332943,0.213667091,0.204752307,-0.154209876,0.527516546,1,Family
58,Ophiodermatidae,0.982629,0.452774653,0.292039374,1.758069781,-0.077258453,0.081224687,-0.216969744,0.042609956,0.268280014,0.200405774,-0.065227362,0.59385566,1,Family
59,Polychaeta,0.818343649,0.52111087,-0.086194206,1.640921534,-0.090650963,0.067095055,-0.214326902,0.001855606,0.267615365,0.216900564,-0.080324986,0.609547562,1,Class
60,Phyllodocida,0.751623112,0.509637325,-0.149266306,1.563297833,-0.101014936,0.071059161,-0.219697615,0.015444896,0.286079028,0.203685747,-0.048251707,0.619981183,1,Order
61,Nereididae,0.57096479,0.455176189,-0.19975486,1.249498809,-0.127616567,0.077957734,-0.250629073,-0.00454195,0.310515128,0.208048835,-0.04479194,0.662921532,1,Family
62,Teleostei,1.08333151,0.44674485,0.37244835,1.843880099,-0.064024238,0.048992869,-0.148476104,0.017016066,0.213997335,0.181454521,-0.104255004,0.485673844,99,Class
63,Acanthuriformes,1.070971425,0.432982917,0.35798921,1.794981264,-0.062831442,0.055121768,-0.154969415,0.024111529,0.187832789,0.177231434,-0.101710072,0.484419619,1,Order
64,Acanthuridae,0.933228943,0.426447641,0.275899885,1.644940652,-0.068275648,0.071505884,-0.1802725,0.048590887,0.208205873,0.191044002,-0.09753608,0.505983459,1,Family
65,Anguilliformes,1.133538289,0.436128612,0.438583573,1.845349831,-0.072886753,0.057295636,-0.168561616,0.01522289,0.192616838,0.178834366,-0.084669221,0.494348286,1,Order
66,Anguillidae,1.401745004,0.392237395,0.727910208,2.026281951,-0.101374141,0.06411154,-0.223183733,-0.010551725,0.157330662,0.153560913,-0.092502327,0.406534246,1,Family
67,Batrachoidiformes,1.065889622,0.436896031,0.363034626,1.777508285,-0.059833496,0.056141417,-0.145367675,0.026763631,0.206346218,0.184981157,-0.100811109,0.493807061,1,Order
68,Batrachoididae,1.052211485,0.411092193,0.374332698,1.674321993,-0.051119961,0.06505299,-0.154937371,0.055101763,0.211739908,0.186892326,-0.113196737,0.493862287,1,Family
69,Blenniiformes,1.068319574,0.429955245,0.377401952,1.773866958,-0.061948073,0.056410374,-0.15536944,0.020855393,0.191506229,0.181740548,-0.105557723,0.490180089,4,Order
70,Blenniidae,0.876321455,0.415166935,0.225555883,1.531887001,-0.084545859,0.062299746,-0.188623088,0.018090389,0.183116614,0.189382236,-0.119956558,0.497736664,1,Family
71,Tripterygiidae,1.234820221,0.33282301,0.726321611,1.797095461,-0.044775211,0.061295039,-0.143583342,0.049561575,0.16207387,0.149788776,-0.081215308,0.391931637,3,Family
72,Carangiformes,1.097748255,0.467186215,0.2824841,1.800866616,-0.052625207,0.057227052,-0.147347115,0.0389562,0.209753191,0.188699768,-0.100008878,0.518067589,1,Order
73,Carangidae,0.924186376,0.456940782,0.162328026,1.643994687,-0.015601016,0.060639653,-0.112722417,0.086763632,0.216262385,0.188925071,-0.086980151,0.526599624,1,Family
74,Cyprinodontiformes,1.125925206,0.439015246,0.380806293,1.83860293,-0.059871407,0.056665774,-0.153567978,0.030025746,0.162872403,0.183480986,-0.158640007,0.456692201,4,Order
75,Cyprinodontidae,1.509357904,0.354561765,0.92592801,2.06498448,-0.040166954,0.070110314,-0.15268807,0.0784763,0.069572169,0.17973289,-0.212067743,0.367516324,1,Family
76,Fundulidae,1.344698385,0.378967074,0.734798743,1.966003852,-0.051896341,0.06825232,-0.158479875,0.056930495,0.007201591,0.179755332,-0.306598483,0.28681126,2,Family
77,Poeciliidae,0.766123693,0.406072364,0.104863856,1.42892816,-0.076112841,0.072903916,-0.210266446,0.03228094,0.187182164,0.187386676,-0.137823911,0.464626721,1,Family
78,Eupercaria,1.117626038,0.425325915,0.414599156,1.817900686,-0.066230608,0.050716786,-0.151364865,0.013992814,0.188807501,0.17510449,-0.108736269,0.463969881,11,Order
79,Labridae,1.091876778,0.339005453,0.522403435,1.654089379,-0.06474906,0.060425106,-0.163209492,0.033224821,0.177525174,0.153255728,-0.084859848,0.412508216,3,Family
80,Moronidae,1.12153255,0.394180434,0.493306253,1.813712002,-0.07796648,0.05760189,-0.171648637,0.013896372,0.198297521,0.159521803,-0.073944116,0.453765941,1,Family
81,Nemipteridae,1.121817872,0.377941549,0.499633914,1.759087516,-0.072743636,0.06548609,-0.177184594,0.031307209,0.196831376,0.173653302,-0.089232476,0.477389928,1,Family
82,Sciaenidae,1.07561017,0.326794398,0.507458014,1.614908874,-0.053365486,0.04946945,-0.132886875,0.028865992,0.103841085,0.131752274,-0.108853063,0.328291102,3,Family
83,Sparidae,1.205591623,0.322048111,0.665261309,1.718532467,-0.085052809,0.048802667,-0.169683407,-0.008633317,0.181690823,0.133470157,-0.023587269,0.407160658,3,Family
